Num Constraints,Median,5th Percentile,95th Percentile
1027992,69314.1728515625,69223.82001953125,69317.66333007812
503704,34927.861328125,34834.0955078125,34932.49848632813
241560,17731.984375,17642.033398437503,17734.836376953124
110488,9132.43359375,9036.249755859375,9136.492138671876
44952,4835.0009765625,4745.63671875,4840.265087890624
12184,2685.58251953125,2593.530078125,2689.60185546875
0,1883.13427734375,1785.037841796875,1886.85732421875
