Num Constraints,Center value,Confidence interval min,Confidence interval max
1027992,1735.4,1724.3,1745.1000000000001
503704,901.71,895.16,908.44
241560,444.22,441.91,446.79
110488,245.66,243.45,247.89
44952,130.06,129.13,131.12
12184,84.116,83.373,85.178
0,82.574,82.186,82.951
