Num Constraints,Center value,Confidence interval min,Confidence interval max
1027992,9.30859375,9.30859375,9.30859375
503704,9.0732421875,9.0732421875,9.0732421875
241560,8.845703125,8.845703125,8.845703125
110488,8.6044921875,8.6044921875,8.6044921875
44952,8.3701171875,8.3701171875,8.3701171875
12184,8.140625,8.140625,8.140625
0,8.109375,8.109375,8.109375
